                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9862,                 2.1197,                 2.0926,                0.42207,                0.31638,                0.32069,                0.13859,                 2.3391,                 1.8092,                  1.852,               0.070019,              0.0033312,              0.0033312
                      1,                 2.0599,                 1.3515,                 1.4462,                0.61695,                0.35681,                0.42195,                0.20193,                 2.0562,                 1.5623,                  1.641,               0.039975,              0.0066205,              0.0066205
                      2,                 1.8336,                 1.1585,                 1.3103,                0.68339,                0.44764,                 0.5362,                0.25933,                 1.9324,                 1.3407,                 1.5391,              0.0098872,              0.0098659,              0.0098659
                      3,                 1.7102,                 1.0667,                 1.2271,                0.72523,                0.47482,                0.57223,                0.27295,                 1.9047,                 1.2971,                 1.5076,               0.009802,               0.009802,               0.009802
                      4,                 1.6296,                0.99617,                 1.1857,                0.74461,                0.50319,                0.60867,                0.29167,                 1.9204,                 1.2594,                 1.5276,               0.009802,               0.009802,               0.009802
                      5,                 1.5845,                0.95792,                 1.1627,                0.73572,                0.50278,                0.59928,                0.28878,                 1.9248,                 1.2565,                  1.529,               0.009736,               0.009736,               0.009736
                      6,                 1.5554,                 0.9336,                 1.1476,                0.75235,                0.51327,                0.61475,                 0.2982,                  1.906,                 1.2175,                 1.5124,                0.00967,                0.00967,                0.00967
                      7,                 1.5345,                0.91448,                 1.1367,                0.73994,                0.52255,                0.61314,                0.29092,                  1.922,                 1.2444,                 1.5265,               0.009604,               0.009604,               0.009604
                      8,                 1.5167,                 0.8995,                 1.1281,                0.74248,                0.52653,                0.61954,                0.29687,                  1.921,                 1.2291,                 1.5325,               0.009538,               0.009538,               0.009538
                      9,                 1.5014,                0.88849,                 1.1202,                0.74232,                0.53093,                0.61966,                0.29668,                 1.9194,                 1.2229,                 1.5305,               0.009472,               0.009472,               0.009472
                     10,                 1.4909,                0.87965,                 1.1149,                0.74779,                0.52738,                0.61972,                0.29742,                 1.9225,                 1.2225,                  1.531,               0.009406,               0.009406,               0.009406
                     11,                 1.4811,                0.87161,                 1.1079,                0.74711,                0.53252,                0.62412,                0.29992,                 1.9199,                 1.2104,                  1.526,                0.00934,                0.00934,                0.00934
                     12,                 1.4719,                0.86488,                 1.1042,                0.74771,                0.53267,                0.62532,                 0.3009,                 1.9186,                 1.2098,                 1.5248,               0.009274,               0.009274,               0.009274
                     13,                 1.4661,                0.85992,                 1.1008,                0.75019,                0.53205,                  0.625,                0.30156,                  1.918,                 1.2119,                 1.5232,               0.009208,               0.009208,               0.009208
                     14,                 1.4588,                0.85344,                 1.0965,                0.75142,                0.53131,                0.62463,                0.30196,                 1.9167,                 1.2115,                 1.5201,               0.009142,               0.009142,               0.009142
                     15,                 1.4528,                0.84953,                 1.0939,                0.74895,                0.53062,                0.62254,                 0.3013,                 1.9154,                 1.2145,                 1.5175,               0.009076,               0.009076,               0.009076
                     16,                 1.4459,                0.84234,                 1.0896,                0.75039,                0.53058,                0.62227,                0.30113,                 1.9146,                 1.2174,                 1.5148,                0.00901,                0.00901,                0.00901
                     17,                 1.4414,                0.83995,                 1.0885,                0.75483,                0.52803,                  0.621,                0.30073,                 1.9126,                 1.2194,                 1.5109,               0.008944,               0.008944,               0.008944
