                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4328,                0.82956,                 1.0865,                0.74101,                 0.4726,                0.57094,                0.26467,                 1.9973,                 1.3517,                 1.5506,               0.070024,              0.0033307,              0.0033307
                      1,                 1.4363,                0.83425,                 1.0877,                0.75804,                0.47703,                0.56947,                0.27991,                 1.9712,                 1.3108,                 1.5466,               0.039958,               0.006598,               0.006598
                      2,                 1.4594,                0.85195,                 1.0956,                0.75043,                0.49627,                0.59203,                0.28082,                 1.9411,                 1.2403,                 1.5137,              0.0098261,              0.0097994,              0.0097994
                      3,                 1.4889,                0.87891,                 1.1093,                 0.7106,                0.44011,                0.52003,                0.25515,                 1.9722,                 1.3635,                 1.5466,               0.009703,               0.009703,               0.009703
                      4,                 1.4873,                0.87582,                 1.1086,                0.70906,                0.45396,                0.53473,                0.26466,                  1.934,                 1.3402,                  1.516,               0.009703,               0.009703,               0.009703
                      5,                 1.4827,                0.87359,                 1.1054,                0.70353,                0.46449,                0.54078,                0.25731,                 1.9523,                 1.3172,                 1.5312,               0.009604,               0.009604,               0.009604
                      6,                 1.4834,                0.87338,                 1.1056,                0.71579,                0.45609,                0.54456,                 0.2616,                 1.9443,                 1.2984,                 1.5258,               0.009505,               0.009505,               0.009505
                      7,                 1.4815,                0.87244,                 1.1038,                0.75267,                0.44578,                0.54049,                0.26485,                 1.9554,                 1.3316,                 1.5299,               0.009406,               0.009406,               0.009406
                      8,                 1.4761,                   0.87,                 1.1042,                0.71707,                0.48508,                0.57151,                 0.2715,                 1.9439,                 1.2656,                 1.5147,               0.009307,               0.009307,               0.009307
                      9,                 1.4784,                0.86957,                 1.1028,                0.70243,                0.47055,                0.53972,                0.25558,                 1.9579,                 1.3408,                 1.5288,               0.009208,               0.009208,               0.009208
                     10,                 1.4731,                0.86796,                 1.1026,                0.71275,                0.50968,                0.59291,                  0.283,                 1.9324,                 1.2374,                 1.5051,               0.009109,               0.009109,               0.009109
                     11,                 1.4703,                0.86563,                  1.099,                0.74272,                0.50639,                0.60349,                0.28722,                 1.9349,                 1.2384,                 1.5175,                0.00901,                0.00901,                0.00901
                     12,                 1.4684,                0.86541,                 1.1005,                 0.7273,                0.49439,                0.58328,                0.28195,                 1.9547,                 1.2978,                 1.5384,               0.008911,               0.008911,               0.008911
                     13,                 1.4658,                0.86007,                 1.0963,                0.75137,                0.49545,                0.58467,                 0.2804,                 1.9493,                 1.2632,                 1.5288,               0.008812,               0.008812,               0.008812
                     14,                 1.4632,                0.85994,                 1.0964,                0.73942,                0.50256,                0.59629,                0.28612,                 1.9605,                  1.263,                  1.525,               0.008713,               0.008713,               0.008713
                     15,                 1.4621,                0.85951,                 1.0978,                0.75653,                0.50972,                0.61124,                0.29799,                 1.9256,                 1.2157,                 1.5174,               0.008614,               0.008614,               0.008614
                     16,                 1.4554,                0.85499,                 1.0928,                0.75798,                0.48916,                0.58775,                0.28682,                 1.9533,                 1.2605,                  1.521,               0.008515,               0.008515,               0.008515
                     17,                 1.4553,                0.85484,                 1.0913,                0.75813,                0.50163,                0.59701,                0.29324,                 1.9295,                 1.2167,                 1.5121,               0.008416,               0.008416,               0.008416
                     18,                 1.4557,                0.85594,                 1.0929,                0.73579,                0.49431,                0.58609,                0.28748,                 1.9423,                 1.2707,                 1.5121,               0.008317,               0.008317,               0.008317
