                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1635,                0.86843,                  1.017,                0.87902,                 0.4174,                0.57176,                0.30778,                 1.8567,                 1.5108,                 1.4732,               0.070033,              0.0033297,              0.0033297
                      1,                 1.1431,                0.82324,                   1.01,                0.95161,                0.32145,                0.55529,                0.31221,                 1.8554,                  1.979,                 1.4666,               0.039967,               0.006597,               0.006597
                      2,                 1.1516,                0.81928,                 1.0107,                0.93559,                 0.3522,                0.59437,                0.32817,                 1.8936,                 2.0199,                 1.4908,               0.009835,              0.0097984,              0.0097984
                      3,                 1.1638,                0.82211,                 1.0146,                0.94421,                0.33852,                0.56409,                0.30941,                 1.8913,                  1.981,                 1.4967,               0.009703,               0.009703,               0.009703
                      4,                  1.161,                 0.8173,                 1.0153,                0.47068,                0.53724,                0.60173,                0.34162,                 1.8909,                 2.1705,                    1.5,               0.009703,               0.009703,               0.009703
                      5,                 1.1551,                0.80845,                 1.0134,                0.94548,                 0.3546,                 0.5817,                0.32177,                 1.8832,                 1.8589,                 1.5012,               0.009604,               0.009604,               0.009604
                      6,                 1.1481,                0.80089,                 1.0112,                0.51845,                0.54247,                0.61583,                0.35555,                 1.8728,                 2.0737,                 1.5048,               0.009505,               0.009505,               0.009505
                      7,                 1.1495,                0.80002,                 1.0125,                0.73012,                0.43633,                0.56237,                0.32149,                 1.8891,                 2.2054,                 1.5059,               0.009406,               0.009406,               0.009406
                      8,                 1.1374,                0.79189,                 1.0083,                0.96253,                0.32208,                0.55829,                0.31136,                 1.9024,                 2.0497,                 1.5236,               0.009307,               0.009307,               0.009307
                      9,                 1.1352,                0.79087,                  1.009,                0.94128,                0.34976,                0.58909,                0.32506,                 1.8893,                 1.9344,                 1.5076,               0.009208,               0.009208,               0.009208
                     10,                  1.134,                0.78804,                 1.0082,                 0.6055,                0.50059,                0.58991,                0.33562,                  1.889,                 2.1191,                 1.5107,               0.009109,               0.009109,               0.009109
                     11,                 1.1293,                0.78398,                 1.0074,                0.43618,                 0.5268,                0.57765,                0.32692,                 1.8982,                 2.0825,                 1.5096,                0.00901,                0.00901,                0.00901
                     12,                 1.1276,                0.78185,                 1.0065,                0.45246,                0.52555,                0.58553,                0.33528,                 1.8905,                 2.1045,                 1.5115,               0.008911,               0.008911,               0.008911
                     13,                 1.1251,                0.77768,                 1.0041,                0.47842,                0.50502,                0.58324,                0.33587,                 1.8985,                 2.1923,                 1.5175,               0.008812,               0.008812,               0.008812
                     14,                  1.126,                0.77552,                 1.0054,                0.95583,                0.33586,                0.56786,                0.32475,                 1.8632,                 2.0329,                  1.495,               0.008713,               0.008713,               0.008713
                     15,                 1.1228,                0.77701,                 1.0045,                0.50688,                0.52712,                0.60235,                0.34781,                 1.8738,                 2.0697,                 1.5109,               0.008614,               0.008614,               0.008614
                     16,                   1.12,                0.77467,                 1.0036,                 0.5362,                0.49606,                0.59517,                0.34369,                 1.9031,                 2.2476,                 1.5332,               0.008515,               0.008515,               0.008515
                     17,                 1.1211,                0.77166,                 1.0042,                0.54381,                0.51968,                0.61017,                0.35258,                 1.8702,                  2.078,                 1.5103,               0.008416,               0.008416,               0.008416
                     18,                 1.1163,                0.76627,                  1.001,                0.93979,                0.33358,                0.55548,                0.31352,                 1.8751,                 1.9782,                 1.5035,               0.008317,               0.008317,               0.008317
                     19,                 1.1121,                0.76639,                0.99907,                0.58435,                0.49817,                 0.6144,                0.35777,                 1.8908,                 2.1972,                 1.5251,               0.008218,               0.008218,               0.008218
                     20,                  1.114,                0.76324,                 1.0006,                  0.503,                0.50361,                0.59028,                0.34287,                 1.8847,                 2.1844,                 1.5267,               0.008119,               0.008119,               0.008119
                     21,                 1.1091,                0.76138,                0.99962,                0.59154,                0.49069,                0.60937,                0.35514,                 1.8884,                 2.1967,                 1.5378,                0.00802,                0.00802,                0.00802
                     22,                 1.1091,                0.75934,                0.99814,                0.55261,                0.48074,                0.59365,                0.34889,                  1.894,                  2.286,                 1.5212,               0.007921,               0.007921,               0.007921
                     23,                 1.1153,                 0.7657,                 1.0019,                0.65302,                0.48596,                0.62752,                0.36834,                 1.8834,                 2.2788,                  1.523,               0.007822,               0.007822,               0.007822
                     24,                 1.1064,                0.75783,                0.99828,                0.53617,                0.50815,                 0.6043,                0.34973,                 1.8895,                 2.1904,                  1.525,               0.007723,               0.007723,               0.007723
                     25,                 1.0976,                0.75485,                0.99786,                0.62387,                0.48764,                0.61944,                0.36281,                 1.8885,                 2.2827,                 1.5138,               0.007624,               0.007624,               0.007624
                     26,                  1.104,                0.75858,                0.99884,                0.61661,                0.49618,                0.62322,                0.36438,                 1.8919,                 2.2046,                 1.5138,               0.007525,               0.007525,               0.007525
                     27,                 1.1019,                 0.7529,                0.99719,                0.65398,                0.48794,                0.62865,                0.36822,                 1.9025,                 2.2809,                 1.5353,               0.007426,               0.007426,               0.007426
                     28,                 1.0989,                0.75069,                0.99509,                0.65127,                0.49443,                0.63109,                0.36893,                 1.8919,                 2.2574,                 1.5292,               0.007327,               0.007327,               0.007327
                     29,                 1.1016,                0.75248,                0.99667,                0.62236,                0.49036,                0.62062,                0.36331,                 1.8798,                 2.2633,                 1.5196,               0.007228,               0.007228,               0.007228
                     30,                  1.102,                 0.7504,                0.99629,                 0.6452,                0.48935,                 0.6283,                0.36516,                 1.8947,                  2.229,                  1.534,               0.007129,               0.007129,               0.007129
                     31,                 1.0882,                0.74483,                0.99251,                0.63926,                0.48444,                0.62223,                0.36279,                 1.8924,                 2.2639,                 1.5279,                0.00703,                0.00703,                0.00703
                     32,                 1.0911,                0.74497,                0.99276,                0.60343,                0.48396,                0.61145,                0.35781,                 1.8913,                 2.2673,                 1.5301,               0.006931,               0.006931,               0.006931
