                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0196,                 2.1697,                 2.1029,                0.45056,                0.34899,                0.35568,                0.15744,                 2.2548,                 1.7291,                 1.8163,               0.070019,              0.0033312,              0.0033312
                      1,                  2.109,                 1.4001,                 1.4705,                0.65213,                0.43293,                0.51413,                0.24262,                 1.9828,                 1.4866,                 1.5801,               0.039689,              0.0063346,              0.0063346
                      2,                 1.8837,                 1.2126,                 1.3242,                0.67788,                 0.4666,                0.55552,                0.27477,                 1.8906,                 1.3288,                 1.4799,              0.0090294,              0.0090081,              0.0090081
                      3,                 1.7562,                 1.1138,                 1.2435,                0.74509,                 0.4891,                0.59893,                0.28749,                 1.8918,                  1.239,                 1.4931,               0.008515,               0.008515,               0.008515
                      4,                 1.6786,                 1.0452,                 1.2043,                0.74201,                0.51472,                0.62107,                0.29896,                 1.8949,                 1.2005,                 1.4825,               0.008515,               0.008515,               0.008515
                      5,                 1.6306,                 1.0042,                 1.1807,                0.75401,                0.52106,                0.63464,                0.30928,                 1.8876,                 1.1605,                 1.4813,                0.00802,                0.00802,                0.00802
                      6,                 1.6012,                0.97683,                  1.165,                0.74387,                0.52179,                0.62712,                0.30279,                 1.9122,                 1.1872,                 1.4896,               0.007525,               0.007525,               0.007525
                      7,                 1.5776,                0.95736,                 1.1529,                0.75103,                 0.5303,                0.63747,                0.30767,                 1.9098,                 1.1802,                 1.4855,                0.00703,                0.00703,                0.00703
                      8,                 1.5571,                0.94022,                 1.1425,                0.75682,                0.52912,                 0.6392,                0.30939,                 1.9086,                 1.1823,                 1.4857,               0.006535,               0.006535,               0.006535
                      9,                   1.54,                0.92529,                 1.1329,                0.75313,                0.53373,                0.63978,                0.30958,                 1.9085,                 1.1859,                 1.4831,                0.00604,                0.00604,                0.00604
                     10,                 1.4512,                0.84865,                 1.1029,                0.75265,                0.53186,                0.64033,                0.30918,                 1.9124,                 1.1898,                 1.4854,               0.005545,               0.005545,               0.005545
                     11,                 1.4306,                0.83289,                 1.0933,                0.75125,                0.52979,                0.63831,                0.30804,                 1.9163,                 1.1921,                 1.4877,                0.00505,                0.00505,                0.00505
                     12,                 1.4141,                0.81954,                 1.0856,                0.75177,                 0.5297,                0.63853,                0.30885,                 1.9169,                 1.1904,                 1.4871,               0.004555,               0.004555,               0.004555
                     13,                 1.4011,                0.80885,                 1.0796,                0.75402,                0.52868,                0.63764,                0.30876,                 1.9183,                 1.1925,                 1.4867,                0.00406,                0.00406,                0.00406
                     14,                 1.3872,                0.79767,                 1.0733,                 0.7574,                0.52778,                0.63725,                0.30891,                 1.9193,                 1.1933,                 1.4864,               0.003565,               0.003565,               0.003565
                     15,                 1.3737,                0.78711,                  1.067,                0.75737,                0.52627,                0.63516,                0.30823,                 1.9211,                 1.1975,                 1.4863,                0.00307,                0.00307,                0.00307
                     16,                   1.36,                0.77652,                 1.0609,                0.75585,                 0.5252,                0.63295,                0.30752,                 1.9235,                 1.2026,                 1.4861,               0.002575,               0.002575,               0.002575
                     17,                 1.3488,                 0.7682,                 1.0561,                0.75859,                0.52323,                0.63117,                0.30699,                 1.9261,                 1.2082,                  1.486,                0.00208,                0.00208,                0.00208
                     18,                 1.3346,                0.75848,                 1.0495,                0.75741,                0.52216,                0.62919,                0.30632,                 1.9298,                 1.2131,                 1.4861,               0.001585,               0.001585,               0.001585
                     19,                 1.3212,                0.74803,                 1.0436,                0.75566,                0.52026,                0.62742,                0.30545,                 1.9347,                  1.218,                 1.4872,                0.00109,                0.00109,                0.00109
