                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0589,                 2.2407,                 2.0741,                0.40505,                0.28224,                0.28645,                0.12703,                 2.3033,                 1.8483,                 1.7863,               0.070019,              0.0033312,              0.0033312
                      1,                 2.2057,                 1.5139,                 1.4859,                0.61651,                 0.3907,                0.46674,                0.21907,                 2.0783,                 1.5393,                 1.5672,               0.039689,              0.0063346,              0.0063346
                      2,                 1.9895,                 1.3296,                 1.3298,                0.62863,                0.41555,                0.48452,                0.22747,                 1.9938,                 1.4911,                 1.5058,              0.0090294,              0.0090081,              0.0090081
                      3,                 1.8613,                 1.2185,                 1.2578,                0.71081,                0.47798,                0.57431,                0.26997,                 1.9528,                 1.3171,                 1.4807,               0.008515,               0.008515,               0.008515
                      4,                 1.7875,                 1.1541,                 1.2165,                0.70834,                0.46755,                0.56817,                0.27262,                 1.9348,                 1.2776,                 1.4523,               0.008515,               0.008515,               0.008515
                      5,                 1.7412,                 1.1116,                 1.1881,                0.72333,                0.47927,                0.57136,                 0.2754,                 1.9164,                  1.229,                 1.4402,                0.00802,                0.00802,                0.00802
                      6,                 1.7118,                 1.0828,                 1.1697,                0.72535,                0.48447,                0.57445,                0.27549,                 1.9141,                 1.2293,                 1.4309,               0.007525,               0.007525,               0.007525
                      7,                 1.6884,                 1.0623,                 1.1571,                0.72744,                0.49259,                0.58576,                 0.2819,                 1.9131,                 1.2233,                 1.4306,                0.00703,                0.00703,                0.00703
                      8,                 1.6684,                 1.0437,                 1.1464,                0.73406,                0.49597,                0.59396,                0.28587,                 1.9124,                  1.214,                 1.4309,               0.006535,               0.006535,               0.006535
                      9,                  1.653,                 1.0295,                 1.1379,                0.72396,                0.49458,                0.58952,                0.28546,                 1.9112,                 1.2189,                 1.4317,                0.00604,                0.00604,                0.00604
                     10,                 1.5496,                0.93912,                 1.1004,                0.72194,                 0.5008,                0.59206,                0.28609,                 1.9114,                 1.2021,                 1.4302,               0.005545,               0.005545,               0.005545
                     11,                 1.5293,                0.92155,                 1.0916,                0.71823,                0.50502,                0.59392,                0.28689,                 1.9118,                 1.1958,                 1.4288,                0.00505,                0.00505,                0.00505
                     12,                 1.5126,                0.90801,                 1.0831,                0.71582,                0.50881,                0.59611,                0.28821,                 1.9113,                 1.1899,                 1.4273,               0.004555,               0.004555,               0.004555
                     13,                 1.4997,                0.89743,                 1.0768,                0.71272,                0.50925,                0.59492,                0.28715,                 1.9126,                 1.1908,                 1.4264,                0.00406,                0.00406,                0.00406
                     14,                  1.486,                0.88591,                 1.0703,                 0.7127,                0.50836,                0.59422,                0.28632,                 1.9132,                 1.1892,                 1.4252,               0.003565,               0.003565,               0.003565
                     15,                 1.4734,                0.87556,                  1.065,                0.70877,                0.50976,                0.59457,                0.28647,                 1.9139,                 1.1885,                 1.4242,                0.00307,                0.00307,                0.00307
                     16,                 1.4614,                0.86516,                 1.0591,                0.71048,                0.50679,                0.59309,                0.28563,                 1.9167,                 1.1899,                 1.4243,               0.002575,               0.002575,               0.002575
                     17,                 1.4493,                 0.8576,                 1.0546,                0.70928,                0.50444,                0.59168,                0.28465,                 1.9201,                 1.1917,                 1.4247,                0.00208,                0.00208,                0.00208
                     18,                 1.4369,                0.84818,                 1.0483,                 0.7082,                0.50064,                0.58904,                0.28311,                 1.9242,                 1.1969,                 1.4254,               0.001585,               0.001585,               0.001585
                     19,                 1.4244,                0.83824,                 1.0435,                0.70453,                0.50025,                0.58756,                0.28253,                 1.9273,                 1.2017,                  1.426,                0.00109,                0.00109,                0.00109
