                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1035,                0.86109,                0.98205,                0.89127,                0.41091,                0.56897,                0.29585,                 1.9064,                    inf,                 1.4651,               0.070165,               0.003315,               0.003315
                      1,                 1.0791,                 0.7949,                0.96896,                0.89773,                0.37088,                0.54402,                0.28737,                 1.9476,                    inf,                  1.472,               0.040099,              0.0065825,              0.0065825
                      2,                 1.0843,                0.78309,                0.97009,                0.88697,                0.39612,                0.57072,                0.30621,                 1.8665,                    inf,                 1.4365,              0.0099672,               0.009784,               0.009784
                      3,                 1.0944,                0.77937,                0.97177,                 0.9393,                0.31956,                0.53682,                0.30298,                 1.9417,                    inf,                 1.4849,               0.009703,               0.009703,               0.009703
                      4,                 1.0876,                0.77367,                0.97181,                0.96156,                0.29868,                0.53708,                0.29845,                 1.9675,                    inf,                 1.5048,               0.009703,               0.009703,               0.009703
                      5,                 1.0853,                 0.7647,                 0.9718,                0.88314,                0.39752,                0.56556,                0.30202,                 1.8739,                    inf,                 1.4327,               0.009604,               0.009604,               0.009604
                      6,                 1.0817,                0.75949,                0.96875,                0.90498,                0.35561,                0.52365,                0.27884,                 1.9001,                    inf,                 1.4482,               0.009505,               0.009505,               0.009505
                      7,                 1.0798,                0.76061,                0.97169,                0.94013,                0.32313,                0.54217,                0.30197,                 1.8933,                    inf,                 1.4617,               0.009406,               0.009406,               0.009406
                      8,                 1.0723,                 0.7489,                 0.9692,                0.94572,                0.35927,                0.56003,                0.31266,                 1.8885,                    inf,                 1.4473,               0.009307,               0.009307,               0.009307
                      9,                 1.0664,                0.74902,                0.96734,                0.95806,                0.33175,                0.57007,                 0.3157,                 1.9299,                    inf,                 1.4691,               0.009208,               0.009208,               0.009208
                     10,                 1.0623,                0.74253,                0.96591,                0.96074,                0.31797,                0.56303,                0.30779,                 1.9557,                    inf,                 1.4941,               0.009109,               0.009109,               0.009109
                     11,                 1.0628,                0.73928,                0.96539,                0.94105,                0.32653,                0.52621,                0.28577,                 1.9337,                    inf,                 1.4868,                0.00901,                0.00901,                0.00901
                     12,                  1.059,                0.74114,                0.96512,                0.93697,                0.30444,                0.50503,                0.27756,                 1.9906,                    inf,                 1.4994,               0.008911,               0.008911,               0.008911
                     13,                  1.059,                0.73381,                0.96449,                0.93226,                0.34437,                0.51166,                0.27915,                 1.8895,                    inf,                  1.451,               0.008812,               0.008812,               0.008812
                     14,                 1.0601,                0.73904,                 0.9667,                0.42035,                0.50392,                0.56958,                0.31962,                 1.9337,                    inf,                 1.4901,               0.008713,               0.008713,               0.008713
                     15,                 1.0488,                0.72741,                0.96193,                0.89871,                0.33647,                0.50498,                0.27393,                 1.9151,                    inf,                 1.4682,               0.008614,               0.008614,               0.008614
                     16,                 1.0472,                0.72572,                0.96234,                0.95552,                0.31238,                0.52568,                0.28987,                 1.9072,                    inf,                 1.4568,               0.008515,               0.008515,               0.008515
                     17,                 1.0458,                0.72427,                0.96082,                0.56636,                0.47682,                0.60033,                0.35066,                 1.9404,                    inf,                  1.516,               0.008416,               0.008416,               0.008416
                     18,                 1.0545,                 0.7283,                0.96481,                0.90728,                0.37647,                 0.5634,                0.30386,                 1.9084,                    inf,                 1.4842,               0.008317,               0.008317,               0.008317
                     19,                 1.0393,                0.71842,                 0.9592,                0.93194,                0.33034,                 0.5236,                 0.2829,                 1.9184,                    inf,                 1.4758,               0.008218,               0.008218,               0.008218
                     20,                  1.043,                0.72226,                0.96114,                0.96059,                0.32339,                 0.5421,                0.30788,                 1.9141,                    inf,                 1.4676,               0.008119,               0.008119,               0.008119
                     21,                 1.0487,                0.71918,                0.96058,                0.95956,                 0.3125,                0.53633,                0.29567,                 1.9277,                    inf,                 1.4826,                0.00802,                0.00802,                0.00802
                     22,                 1.0343,                0.71681,                0.95703,                0.95593,                 0.3087,                0.54479,                0.30032,                 1.9267,                    inf,                 1.4893,               0.007921,               0.007921,               0.007921
                     23,                  1.037,                0.71698,                0.95836,                0.43813,                0.50873,                0.57252,                 0.3236,                 1.9266,                    inf,                 1.5171,               0.007822,               0.007822,               0.007822
                     24,                 1.0409,                0.71565,                0.96046,                0.96362,                0.31555,                0.54245,                0.30657,                 1.9127,                    inf,                 1.4859,               0.007723,               0.007723,               0.007723
                     25,                  1.033,                0.71335,                0.95905,                0.94584,                0.32733,                0.55677,                0.31104,                 1.9073,                    inf,                  1.479,               0.007624,               0.007624,               0.007624
